[2024-10-08 15:59:18,289: INFO: main: welcome to our custom login]
[2024-10-09 21:09:02,379: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-10-09 21:09:02,394: INFO: common: yaml file: params.yaml loaded successfully]
[2024-10-09 21:09:02,397: INFO: common: created directory at: artifacts]
[2024-10-09 21:09:02,400: INFO: common: created directory at: artifacts/data_ingestion]
[2024-10-09 21:09:02,402: INFO: 3172177572: Downloading data from https://drive.google.com/file/d/1KwzodZkcnWtkl_k4YZGoo48qICObmtXQ/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2024-10-09 21:10:39,249: INFO: 3172177572: Downloaded data from https://drive.google.com/file/d/1KwzodZkcnWtkl_k4YZGoo48qICObmtXQ/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2024-10-09 22:51:52,106: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-10-09 22:51:52,109: INFO: common: yaml file: params.yaml loaded successfully]
[2024-10-09 22:51:52,111: INFO: common: created directory at: artifacts]
[2024-10-09 22:51:52,113: INFO: common: created directory at: artifacts/data_ingestion]
[2024-10-09 22:51:52,116: INFO: 3172177572: Downloading data from https://drive.google.com/file/d/1mhLtVN0rUrZNqNSiQx97lS8w4yfBCsoK/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-10-09 22:53:18,806: INFO: 3172177572: Downloaded data from https://drive.google.com/file/d/1mhLtVN0rUrZNqNSiQx97lS8w4yfBCsoK/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-10-09 23:24:12,683: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-10-09 23:24:12,691: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-10-09 23:24:12,691: INFO: common: yaml file: params.yaml loaded successfully]
[2024-10-09 23:24:12,691: INFO: common: created directory at: artifacts]
[2024-10-09 23:24:12,691: INFO: common: created directory at: artifacts/data_ingestion]
[2024-10-09 23:24:12,691: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1mhLtVN0rUrZNqNSiQx97lS8w4yfBCsoK/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-10-09 23:25:51,280: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1mhLtVN0rUrZNqNSiQx97lS8w4yfBCsoK/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-10-09 23:25:51,927: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
